timestamp,cpu_user_pct,cpu_system_pct,cpu_idle_pct,context_switches,available_mem_kb,major_page_faults,label
1772018802.62,0.5,0.5,99.0,211,2329064,0,0
1772018803.62,0.5,0.5,98.5,585,2329064,0,0
1772018804.62,0.5,3.5,96.0,1699,2329064,0,0
1772018805.62,1.5,3.6,94.9,1322,2329064,0,0
1772018806.62,13.0,24.4,62.2,3651,2329312,26,0
1772018807.63,19.3,62.0,16.1,11553,2304996,116,0
1772018808.63,33.2,64.2,0.5,10485,2196252,50,0
1772018809.63,26.8,70.5,1.6,9394,2024768,60,0
1772018810.64,26.9,69.9,2.1,7750,1868108,35,0
1772018811.64,30.1,68.4,1.0,10257,1771432,20,0
1772018812.64,33.0,63.4,1.6,8758,1681056,14,0
1772018813.65,41.9,56.0,1.6,7653,1599124,15,0
1772018814.65,35.3,60.3,3.3,9349,1569924,28,0
1772018815.65,36.1,62.4,0.5,9599,1566240,3,0
1772018816.66,34.6,63.3,1.6,8209,1357152,0,0
1772018817.66,46.7,51.6,0.5,6215,1223356,4,0
1772018818.67,39.7,55.6,2.1,13218,1159764,73,0
1772018819.68,48.7,45.5,4.7,11052,1204244,287,0
1772018820.68,41.5,56.4,2.1,11270,1175020,55,0
1772018821.69,34.7,50.0,14.2,14552,1152232,17,0
1772018822.70,21.9,41.7,35.3,14743,1130692,9,0
1772018823.70,39.0,54.9,5.5,10720,1166324,51,0
1772018824.70,39.0,58.2,2.2,11484,1142836,26,0
1772018825.70,39.2,57.5,2.2,9072,1096344,31,0
1772018826.71,42.1,54.5,2.8,7001,1068356,64,0
1772018827.71,43.7,51.6,3.2,13888,1086488,107,0
1772018828.71,29.4,65.0,1.0,11683,1086280,129,0
1772018829.74,30.9,48.2,18.8,12982,1097212,79,0
1772018830.74,43.9,40.2,15.3,9396,1051868,7,0
1772018831.74,42.2,47.6,9.7,12539,1017712,21,0
1772018832.74,30.1,62.7,5.2,21402,986296,214,0
1772018833.75,43.1,46.8,9.0,19168,988700,44,0
1772018834.75,38.1,48.1,11.6,11605,978356,189,0
1772018835.75,18.6,47.9,31.4,13976,990720,83,0
1772018836.75,5.7,13.0,80.2,6544,993692,32,0
1772018837.75,5.2,15.1,79.7,6379,971988,12,0
1772018838.75,25.5,39.1,33.9,9282,975176,123,0
1772018839.76,46.1,46.9,6.2,8146,967992,59,0
1772018842.25,27.6,68.1,1.6,14410,963740,105,0
1772018843.25,36.5,61.9,0.6,11404,915792,24,0
1772018844.26,36.0,57.4,3.6,12915,925976,77,0
1772018845.26,33.9,51.9,12.2,17927,953088,86,0
1772018846.26,46.8,47.3,4.3,13582,1036816,50,0
1772018847.26,21.6,42.6,35.3,15662,1191068,35,0
1772018848.27,56.2,33.1,9.6,9858,1170028,49,1
1772018849.30,53.5,36.0,9.9,8980,1174432,7,1
1772018850.31,54.9,35.4,9.1,15731,1493588,20,1
1772018851.31,54.2,38.4,5.6,12814,1506004,135,1
1772018852.31,73.3,25.5,0.6,5261,1500456,66,1
1772018853.31,44.8,12.8,41.9,4856,1492420,4,1
1772018854.32,41.0,9.3,47.8,6375,1501268,115,1
1772018855.32,48.1,4.9,47.0,3847,1501300,52,1
1772018856.32,46.2,22.2,31.0,5774,1491924,58,1
1772018857.32,50.6,16.9,32.0,9988,1489908,10,1
1772018858.32,53.9,43.9,1.7,12753,1479560,12,1
1772018859.33,54.0,44.3,0.0,10818,1472984,24,1
1772018860.33,60.0,39.4,0.0,9860,1455612,2,1
1772018861.33,59.1,40.3,0.0,11183,1407600,3,1
1772018862.33,48.9,50.6,0.0,9598,1378752,30,1
1772018863.33,45.4,54.0,0.0,10666,1370956,16,1
1772018864.34,40.0,57.8,1.1,14572,1345024,24,1
1772018865.34,40.2,55.4,3.3,15734,1329748,15,1
1772018866.34,49.2,44.3,5.9,14091,1320956,17,1
1772018867.35,52.7,45.1,1.6,14806,1302356,33,1
1772018868.35,40.7,57.7,0.5,17333,1255252,3,1
1772018869.35,51.4,48.1,0.0,11339,1222412,48,1
1772018870.36,52.1,46.3,0.0,12176,1161864,33,1
1772018871.36,51.4,48.1,0.0,12325,1151856,32,1
1772018872.36,42.4,56.0,0.0,12392,1130252,14,1
1772018873.37,37.9,58.9,1.1,9593,1094904,13,1
1772018874.38,47.0,50.8,0.5,8496,1080764,64,1
1772018875.38,59.7,39.2,0.0,7884,1060324,140,1
1772018876.39,43.0,54.4,1.6,14088,1033688,30,1
1772018877.39,42.6,55.8,0.0,12604,1017932,27,1
1772018878.39,42.1,53.8,2.6,17274,1009912,55,0
1772018879.39,47.8,50.0,1.1,13249,986280,13,0
1772018880.39,36.7,61.2,0.5,13310,994604,71,0
1772018881.40,43.8,53.1,0.5,17066,947232,198,0
1772018882.40,37.6,60.3,0.0,12250,965876,263,0
1772018883.40,38.4,56.1,1.5,14877,955976,699,0
1772018884.43,38.5,56.0,1.5,11980,948700,1055,0
1772018885.43,47.7,50.3,0.0,13690,957832,1024,0
1772018886.47,37.1,59.8,0.0,15802,1089888,1970,0
